realDate,textDate,Island,Branches,Classes_scheduled,Registered,Attended,Attend_Rate,Peronnel,Profeional/Contractual,Travel,Marketing and Outreach,Indirect,Hardware,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2025,Jan-25,Oahu,7,23,234,131,56,19897.4,19116.67,4800,2037.07,289.52,0,46140.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2025,Jan-25,Maui,4,15,69,43,62,19897.4,19116.67,4800,2037.07,289.52,0,46140.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2025,Jan-25,Hawaii,4,15,75,44,59,19897.4,19116.67,4800,2037.07,289.52,0,46140.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2025,Jan-25,Kauai,3,11,69,58,84,19897.4,19116.67,4800,2037.07,289.52,0,46140.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2025,Jan-25,Lana,0,0,0,0,0,19897.4,19116.67,4800,2037.07,289.52,0,46140.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2025,Jan-25,Molokai,0,0,0,0,0,19897.4,19116.67,4800,2037.07,289.52,0,46140.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1/1/2025,Jan-25,Total,18,64,447,276,62,19897.4,19116.67,4800,2037.07,289.52,0,46140.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2025,Feb-25,Oahu,12,37,315,187,60,19897.4,21716.67,4800,226.79,467.6,0,47108.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2025,Feb-25,Maui,2,5,37,29,78,19897.4,21716.67,4800,226.79,467.6,0,47108.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2025,Feb-25,Hawaii,7,22,160,97,61,19897.4,21716.67,4800,226.79,467.6,0,47108.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2025,Feb-25,Kauai,3,7,68,28,41,19897.4,21716.67,4800,226.79,467.6,0,47108.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2025,Feb-25,Lana,1,3,25,12,48,19897.4,21716.67,4800,226.79,467.6,0,47108.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2025,Feb-25,Molokai,1,3,48,25,52,19897.4,21716.67,4800,226.79,467.6,0,47108.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/1/2025,Feb-25,Total,26,77,653,379,58,19897.4,21716.67,4800,226.79,467.6,0,47108.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2025,Mar-25,Oahu,9,26,128,85,66,19897.4,24766.67,4000,2398.53,477.7,0,51540.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2025,Mar-25,Maui,2,8,41,35,85,19897.4,24766.67,4000,2398.53,477.7,0,51540.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2025,Mar-25,Hawaii,7,18,94,53,56,19897.4,24766.67,4000,2398.53,477.7,0,51540.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2025,Mar-25,Kauai,3,8,37,31,84,19897.4,24766.67,4000,2398.53,477.7,0,51540.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2025,Mar-25,Lana,1,1,9,6,67,19897.4,24766.67,4000,2398.53,477.7,0,51540.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2025,Mar-25,Molokai,1,1,12,6,50,19897.4,24766.67,4000,2398.53,477.7,0,51540.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/1/2025,Mar-25,Total,23,62,321,216,67,19897.4,24766.67,4000,2398.53,477.7,0,51540.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2024,Sep-24,Oahu,10,32,396,216,55,16997.4,13000,3095.75,2196,840.61,203.12,36332.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2024,Sep-24,Maui,1,2,18,16,89,16997.4,13000,3095.75,2196,840.61,203.12,36332.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2024,Sep-24,Hawaii,6,19,148,90,61,16997.4,13000,3095.75,2196,840.61,203.12,36332.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2024,Sep-24,Kauai,3,12,73,51,70,16997.4,13000,3095.75,2196,840.61,203.12,36332.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2024,Sep-24,Lana,0,0,0,0,0,16997.4,13000,3095.75,2196,840.61,203.12,36332.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2024,Sep-24,Molokai,0,0,0,0,0,16997.4,13000,3095.75,2196,840.61,203.12,36332.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/1/2024,Sep-24,Total,20,65,635,373,59,16997.4,13000,3095.75,2196,840.61,203.12,36332.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2024,Aug-24,Oahu,7,24,322,208,65,16997.40,12342.27,1028.99,1540.28,261.70,471.01,32641.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2024,Aug-24,Maui,3,12,39,23,59,16997.40,12342.27,1028.99,1540.28,261.70,471.01,32641.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2024,Aug-24,Hawaii,2,7,26,23,88,16997.40,12342.27,1028.99,1540.28,261.70,471.01,32641.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2024,Aug-24,Kauai,0,0,0,0,0,16997.40,12342.27,1028.99,1540.28,261.70,471.01,32641.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2024,Aug-24,Lana,0,0,0,0,0,16997.40,12342.27,1028.99,1540.28,261.70,471.01,32641.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2024,Aug-24,Molokai,0,0,0,0,0,16997.40,12342.27,1028.99,1540.28,261.70,471.01,32641.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/1/2024,Aug-24,Total,12,43,387,254,65,16997.40,12342.27,1028.99,1540.28,261.70,471.01,32641.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2024,Nov-24,Oahu,5,15,123,77,63,16997.40,4600.00,1920.79,167.88,368.56,0.00,24054.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2024,Nov-24,Maui,0,0,0,0,0,16997.40,4600.00,1920.79,167.88,368.56,0.00,24054.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2024,Nov-24,Hawaii,1,4,60,46,77,16997.40,4600.00,1920.79,167.88,368.56,0.00,24054.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2024,Nov-24,Kauai,2,3,41,36,88,16997.40,4600.00,1920.79,167.88,368.56,0.00,24054.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2024,Nov-24,Lana,0,0,0,0,0,16997.40,4600.00,1920.79,167.88,368.56,0.00,24054.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2024,Nov-24,Molokai,1,1,14,8,57,16997.40,4600.00,1920.79,167.88,368.56,0.00,24054.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/1/2024,Nov-24,Total,9,23,238,167,70,16997.40,4600.00,1920.79,167.88,368.56,0.00,24054.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
